flight_id,cycle_num,ts,phase,jpt1,ngg_rpm,ngg_pct,p2p1,oat,stepper_pos,fuel_flow_kgh,vibration,secu_healthy,bit_pass,mil_bus_word,status,fault_reason,flight_hour
5,1,0.0,cranking,174.6,13,0.06,1.0,40.0,0,0.093,0.215,1,1,0x0000,success,,0.0
5,1,1.0,cranking,180.2,92,0.42,1.0,40.1,0,0.113,0.345,1,1,0x0000,success,,0.0
5,1,2.0,cranking,174.3,143,0.65,1.0,40.3,1,0.0,0.14,1,1,0x0000,success,,0.0
5,1,3.0,cranking,207.7,642,2.92,1.0,41.0,5,0.18,0.152,1,1,0x0000,success,,0.0
5,1,4.0,cranking,223.9,1175,5.34,1.0,40.1,10,0.368,0.335,1,1,0x0000,success,,0.0
5,1,5.0,cranking,256.9,1789,8.13,1.0,40.8,16,0.653,0.46,1,1,0x0000,success,,0.0
5,1,6.0,cranking,274.3,2594,11.79,1.086,40.3,23,0.883,0.309,1,1,0x0000,success,,0.0
5,1,7.0,light-up,326.2,3804,17.29,1.16,40.4,34,1.332,0.466,1,1,0x0000,success,,0.0
5,1,8.0,light-up,347.3,4880,22.18,1.298,40.5,44,1.741,0.588,1,1,0x0000,success,,0.0
5,1,9.0,light-up,400.7,6013,27.33,1.394,40.6,55,2.137,0.552,1,1,0x0000,success,,0.0
5,1,10.0,light-up,453.8,7394,33.61,1.601,41.1,67,2.742,0.825,1,1,0x0000,success,,0.0
5,1,11.0,light-up,493.2,8367,38.03,1.749,41.0,76,2.942,0.848,1,1,0x0000,success,,0.0
5,1,12.0,light-up,552.2,9735,44.25,1.909,40.6,89,3.571,1.078,1,1,0x0000,success,,0.0
5,1,13.0,light-up,659.2,10771,48.96,2.065,40.5,98,3.915,0.915,1,1,0x0000,success,,0.0
5,1,14.0,acceleration,799.2,12067,54.85,2.299,40.4,110,4.301,1.021,1,1,0x0000,success,,0.0
5,1,15.0,acceleration,878.1,13594,61.79,2.525,40.9,124,4.976,1.367,1,1,0x0000,success,,0.0
5,1,16.0,acceleration,901.7,14920,67.82,2.834,40.2,136,5.486,1.182,1,1,0x0000,success,,0.0
5,1,17.0,acceleration,926.9,16192,73.6,3.016,41.2,148,5.724,1.626,1,1,0x0000,success,,0.0
5,1,18.0,acceleration,968.1,17120,77.82,3.156,41.0,156,6.185,1.617,1,1,0x0000,success,,0.0
5,1,19.0,acceleration,946.6,17763,80.74,3.27,41.5,162,6.391,1.5,1,1,0x0000,success,,0.0
5,1,20.0,acceleration,945.4,18520,84.18,3.457,40.8,169,6.642,1.591,1,1,0x0000,success,,0.0
5,1,21.0,acceleration,904.3,18944,86.11,3.501,40.8,173,6.805,1.578,1,1,0x0000,success,,0.0
5,1,22.0,acceleration,937.6,19413,88.24,3.618,40.5,177,6.932,1.62,1,1,0x0000,success,,0.0
5,1,23.0,acceleration,921.8,19613,89.15,3.664,40.5,179,7.072,1.514,1,1,0x0000,success,,0.0
5,1,24.0,acceleration,905.6,19802,90.01,3.686,41.2,181,7.072,1.676,1,1,0x0000,success,,0.0
5,1,25.0,acceleration,898.7,19989,90.86,3.757,40.3,183,7.179,1.553,1,1,0x0000,success,,0.0
5,1,26.0,acceleration,905.4,20011,90.96,3.693,40.4,183,7.115,1.957,1,1,0x0000,success,,0.0
5,1,27.0,acceleration,886.2,20233,91.97,3.78,40.5,185,7.289,1.807,1,1,0x0000,success,,0.0
5,1,28.0,self-sustaining,928.9,20238,91.99,3.797,41.2,185,7.23,1.689,1,1,0x0000,success,,0.0
5,1,29.0,self-sustaining,959.2,20302,92.28,3.782,40.8,185,7.336,1.491,1,1,0x0000,success,,0.0
5,1,30.0,self-sustaining,895.9,20172,91.69,3.804,40.2,184,7.255,1.775,1,1,0x0000,success,,0.0
5,1,31.0,self-sustaining,907.9,20090,91.32,3.737,40.7,183,7.275,1.546,1,1,0x0000,success,,0.0
5,1,32.0,self-sustaining,908.1,20209,91.86,3.792,41.0,185,7.339,1.781,1,1,0x0000,success,,0.0
5,1,33.0,self-sustaining,906.6,20440,92.91,3.844,40.2,187,7.301,1.872,1,1,0x0000,success,,0.0
5,1,34.0,self-sustaining,893.3,20159,91.63,3.734,40.7,184,7.224,1.491,1,1,0x0000,success,,0.0
5,1,35.0,self-sustaining,901.5,20253,92.06,3.798,40.8,185,7.34,1.758,1,1,0x0000,success,,0.0
5,1,36.0,self-sustaining,900.0,20194,91.79,3.804,40.8,184,7.24,1.608,1,1,0x0000,success,,0.0
5,1,37.0,self-sustaining,882.6,20086,91.3,3.776,40.8,183,7.267,1.767,1,1,0x0000,success,,0.0
5,1,38.0,self-sustaining,883.4,20233,91.97,3.776,40.0,185,7.265,1.858,1,1,0x0000,success,,0.0
5,1,39.0,self-sustaining,901.4,20229,91.95,3.77,40.2,185,7.216,1.834,1,1,0x0000,success,,0.0
5,1,40.0,self-sustaining,903.4,20060,91.18,3.745,40.8,183,7.146,1.737,1,1,0x0000,success,,0.0
5,1,41.0,self-sustaining,901.9,20117,91.44,3.774,41.6,184,7.206,1.867,1,1,0x0000,success,,0.0
5,1,42.0,self-sustaining,871.1,19578,88.99,3.622,40.4,179,7.001,1.677,1,1,0x0000,success,,0.0
5,1,42.1,self-sustaining,900.7,20317,92.35,3.815,41.0,186,7.318,1.8,1,1,0x0000,success,,0.0
5,2,1153.0,cranking,177.1,117,0.53,1.0,40.3,1,0.05,0.16,1,1,0x0000,success,,0.313
5,2,1154.0,cranking,182.0,11,0.05,1.0,39.0,0,0.053,0.307,1,1,0x0000,success,,0.313
5,2,1155.0,cranking,181.4,326,1.48,1.0,39.3,2,0.051,0.357,1,1,0x0000,success,,0.313
5,2,1156.0,cranking,201.3,612,2.78,1.0,40.2,5,0.158,0.298,1,1,0x0000,success,,0.313
5,2,1157.0,cranking,204.9,1140,5.18,1.0,39.7,10,0.515,0.274,1,1,0x0000,success,,0.313
5,2,1158.0,cranking,253.1,1808,8.22,1.0,40.2,16,0.71,0.296,1,1,0x0000,success,,0.313
5,2,1159.0,cranking,273.3,2959,13.45,1.097,39.8,27,1.022,0.564,1,1,0x0000,success,,0.313
5,2,1160.0,light-up,345.3,4052,18.42,1.217,39.5,37,1.441,0.6,1,1,0x0000,success,,0.313
5,2,1161.0,light-up,369.6,5282,24.01,1.337,39.2,48,2.016,0.596,1,1,0x0000,success,,0.313
5,2,1162.0,light-up,419.9,6534,29.7,1.484,40.0,59,2.375,0.675,1,1,0x0000,success,,0.313
5,2,1163.0,light-up,465.5,7632,34.69,1.604,39.9,69,2.767,0.733,1,1,0x0000,success,,0.313
5,2,1164.0,light-up,495.5,8879,40.36,1.748,39.8,81,3.208,0.861,1,1,0x0000,success,,0.313
5,2,1165.0,light-up,581.3,10197,46.35,1.973,39.9,93,3.497,1.013,1,1,0x0000,success,,0.313
